label,value,precision,recall,f1-score,support,accuracy
related,0,0.6502564102564102,0.5192465192465192,0.5774134790528234,1221,0.8217098943323727
related,1,0.8612293144208037,0.9144076305220884,0.8870221572924275,3984,0.8217098943323727
request,0,0.9174475680499777,0.9585081585081585,0.9375284997720019,4290,0.894716618635927
request,1,0.7538035961272476,0.5956284153005464,0.6654456654456654,915,0.894716618635927
offer,0,0.9959654178674352,1.0,0.9979786312445856,5184,0.9959654178674352
offer,1,0.0,0.0,0.0,21,0.9959654178674352
aid_related,0,0.7762645914396887,0.8041652670473631,0.7899686520376177,2977,0.7554274735830931
aid_related,1,0.7251296558227251,0.6903052064631957,0.7072890319613705,2228,0.7554274735830931
medical_help,0,0.9399363564041369,0.983968353112638,0.9614484793001729,4803,0.9271853986551393
medical_help,1,0.5649717514124294,0.24875621890547264,0.34542314335060453,402,0.9271853986551393
medical_products,0,0.9643981117230527,0.9941200324412003,0.9790335463258785,4932,0.9596541786743515
medical_products,1,0.7603305785123967,0.336996336996337,0.467005076142132,273,0.9596541786743515
search_and_rescue,0,0.9785714285714285,0.9980311084859225,0.9882054781167755,5079,0.9767531219980787
search_and_rescue,1,0.6,0.11904761904761904,0.1986754966887417,126,0.9767531219980787
security,0,0.9844170834936514,0.9990238188207732,0.9916666666666667,5122,0.9834774255523535
security,1,0.2857142857142857,0.024096385542168676,0.044444444444444446,83,0.9834774255523535
military,0,0.9744090642703653,0.9934276040629356,0.9838264299802763,5021,0.9684918347742555
military,1,0.6162790697674418,0.28804347826086957,0.3925925925925926,184,0.9684918347742555
water,0,0.9728854714690409,0.9866611943361379,0.9797249108507387,4873,0.9617675312199808
water,1,0.752851711026616,0.5963855421686747,0.665546218487395,332,0.9617675312199808
food,0,0.9589885252868678,0.9768398268398268,0.9678318678962041,4620,0.9423631123919308
food,1,0.7855711422845691,0.67008547008547,0.7232472324723247,585,0.9423631123919308
shelter,0,0.9580433892754809,0.9850589225589226,0.9713633533928201,4752,0.9469740634005763
shelter,1,0.7774294670846394,0.5474613686534217,0.6424870466321243,453,0.9469740634005763
clothing,0,0.9897187196896218,0.9972634870992964,0.9934767792814722,5116,0.9871277617675313
clothing,1,0.72,0.4044943820224719,0.5179856115107915,89,0.9871277617675313
money,0,0.9827385570209465,0.9956769502849283,0.9891654465592973,5089,0.9786743515850144
money,1,0.5510204081632653,0.23275862068965517,0.32727272727272727,116,0.9786743515850144
missing_people,0,0.990753226738586,0.9988347251893571,0.9947775628626692,5149,0.9896253602305476
missing_people,1,0.5714285714285714,0.14285714285714285,0.2285714285714286,56,0.9896253602305476
refugees,0,0.9741194784977623,0.9958225581857967,0.98485146566988,5027,0.9704130643611911
refugees,1,0.6818181818181818,0.25280898876404495,0.36885245901639346,178,0.9704130643611911
death,0,0.9789890981169475,0.9929634097305992,0.9859267391955284,4974,0.9729106628242075
death,1,0.78125,0.5411255411255411,0.639386189258312,231,0.9729106628242075
other_aid,0,0.8796485492439722,0.9652466367713004,0.9204618345093006,4460,0.8570605187319885
other_aid,1,0.5016077170418006,0.20939597315436242,0.29545454545454547,745,0.8570605187319885
infrastructure_related,0,0.9412912034328067,0.9903550174430535,0.9652,4873,0.9331412103746398
infrastructure_related,1,0.3974358974358974,0.09337349397590361,0.15121951219512195,332,0.9331412103746398
transport,0,0.9657520918466628,0.9959863536022476,0.9806362378976486,4983,0.9623439000960615
transport,1,0.696969696969697,0.2072072072072072,0.3194444444444445,222,0.9623439000960615
buildings,0,0.9676209279368213,0.990501212611156,0.9789273943872965,4948,0.959462055715658
buildings,1,0.6642857142857143,0.36186770428015563,0.46851385390428213,257,0.959462055715658
electricity,0,0.9862509682416731,0.996283255086072,0.9912417282989491,5112,0.9827089337175793
electricity,1,0.5365853658536586,0.23655913978494625,0.3283582089552239,93,0.9827089337175793
tools,0,0.9919308357348703,1.0,0.9959490740740741,5163,0.9919308357348703
tools,1,0.0,0.0,0.0,42,0.9919308357348703
hospitals,0,0.9905660377358491,0.998641304347826,0.9945872801082544,5152,0.9892411143131604
hospitals,1,0.36363636363636365,0.07547169811320754,0.125,53,0.9892411143131604
shops,0,0.9963496637848223,1.0,0.9981714945626023,5186,0.9963496637848223
shops,1,0.0,0.0,0.0,19,0.9963496637848223
aid_centers,0,0.9886582083813917,0.9996112730806609,0.9941045713733448,5145,0.9882804995196927
aid_centers,1,0.3333333333333333,0.016666666666666666,0.031746031746031744,60,0.9882804995196927
other_infrastructure,0,0.9580514208389715,0.9959807073954984,0.9766479456104049,4976,0.9544668587896253
other_infrastructure,1,0.375,0.05240174672489083,0.09195402298850573,229,0.9544668587896253
weather_related,0,0.8950695322376738,0.9402390438247012,0.9170984455958548,3765,0.8770413064361191
weather_related,1,0.82,0.7118055555555556,0.762081784386617,1440,0.8770413064361191
floods,0,0.9631429728635075,0.9900083263946711,0.9763908848285773,4804,0.9558117195004803
floods,1,0.8202247191011236,0.5461346633416458,0.6556886227544909,401,0.9558117195004803
storm,0,0.9609958506224067,0.9809402795425667,0.9708656466149654,4722,0.9465898174831893
